project_id,agent_name,resource_id,storage_type,size_bytes,created_at,access_count,last_accessed
proj-001,agent-alpha,config-001,inline,847,2025-01-15T10:23:45Z,142,2025-01-20T14:32:11Z
proj-001,agent-alpha,doc-001,inline,4923,2025-01-15T10:24:12Z,89,2025-01-20T11:45:33Z
proj-001,agent-beta,data-001,inline,8192,2025-01-15T10:25:03Z,67,2025-01-19T16:22:05Z
proj-001,agent-beta,image-001,reference,52341,2025-01-15T10:26:45Z,34,2025-01-20T09:15:44Z
proj-001,agent-gamma,report-001,reference,198765,2025-01-15T10:28:22Z,23,2025-01-18T13:44:22Z
proj-002,agent-delta,manifest-001,inline,1024,2025-01-16T08:15:30Z,156,2025-01-20T15:10:08Z
proj-002,agent-delta,logs-001,reference,87654,2025-01-16T08:17:44Z,45,2025-01-20T12:33:19Z
proj-002,agent-epsilon,schema-001,inline,6543,2025-01-16T08:19:11Z,78,2025-01-19T17:22:44Z
proj-002,agent-epsilon,binary-001,reference,432100,2025-01-16T08:21:33Z,12,2025-01-17T10:05:22Z
proj-003,agent-zeta,config-002,inline,945,2025-01-17T09:30:15Z,201,2025-01-20T16:44:55Z
proj-003,agent-zeta,metrics-001,inline,7821,2025-01-17T09:32:40Z,92,2025-01-20T08:11:33Z
proj-003,agent-eta,dataset-002,reference,165432,2025-01-17T09:35:22Z,56,2025-01-19T14:55:11Z
proj-003,agent-eta,archive-001,reference,498765,2025-01-17T09:38:50Z,8,2025-01-18T11:20:44Z
proj-004,agent-theta,params-001,inline,2345,2025-01-18T11:45:20Z,134,2025-01-20T13:22:07Z
proj-004,agent-theta,results-001,inline,9876,2025-01-18T11:47:33Z,87,2025-01-20T10:44:22Z
proj-004,agent-iota,model-001,reference,234567,2025-01-18T11:50:15Z,29,2025-01-19T15:33:08Z
proj-004,agent-iota,weights-001,reference,512000,2025-01-18T11:53:42Z,15,2025-01-20T07:15:33Z
proj-005,agent-kappa,readme-001,inline,3456,2025-01-19T13:20:10Z,167,2025-01-20T14:55:44Z
proj-005,agent-kappa,docs-001,reference,78900,2025-01-19T13:22:55Z,43,2025-01-20T11:22:15Z
proj-005,agent-lambda,specs-001,inline,5678,2025-01-19T13:25:30Z,98,2025-01-20T09:44:33Z
proj-005,agent-lambda,media-001,reference,345678,2025-01-19T13:28:45Z,21,2025-01-19T16:10:22Z
proj-006,agent-mu,settings-001,inline,1234,2025-01-20T07:10:15Z,89,2025-01-20T15:33:11Z
proj-006,agent-mu,cache-001,reference,123456,2025-01-20T07:12:40Z,34,2025-01-20T12:44:55Z
proj-006,agent-nu,index-001,inline,8765,2025-01-20T07:15:25Z,112,2025-01-20T14:11:22Z
proj-006,agent-nu,backup-001,reference,287654,2025-01-20T07:18:50Z,17,2025-01-20T10:22:44Z
proj-007,agent-xi,metadata-001,inline,4321,2025-01-20T08:30:10Z,145,2025-01-20T16:10:33Z
proj-007,agent-xi,snapshot-001,reference,156789,2025-01-20T08:33:35Z,27,2025-01-20T13:55:11Z
proj-007,agent-omicron,tags-001,inline,6789,2025-01-20T08:36:20Z,76,2025-01-20T11:33:44Z
proj-007,agent-omicron,export-001,reference,398765,2025-01-20T08:39:45Z,19,2025-01-20T09:22:15Z
proj-008,agent-pi,version-001,inline,2109,2025-01-20T09:20:15Z,198,2025-01-20T15:44:22Z
proj-008,agent-pi,changelog-001,inline,9012,2025-01-20T09:22:50Z,134,2025-01-20T12:11:33Z
proj-008,agent-rho,release-001,reference,98765,2025-01-20T09:25:35Z,45,2025-01-20T14:33:08Z
proj-008,agent-rho,dist-001,reference,456789,2025-01-20T09:28:20Z,23,2025-01-20T10:55:44Z
proj-009,agent-sigma,env-001,inline,1876,2025-01-20T10:15:10Z,176,2025-01-20T16:22:11Z
proj-009,agent-sigma,secrets-001,inline,3456,2025-01-20T10:17:45Z,92,2025-01-20T13:44:55Z
proj-009,agent-tau,credentials-001,reference,45678,2025-01-20T10:20:30Z,38,2025-01-20T11:10:22Z
proj-009,agent-tau,tokens-001,reference,234567,2025-01-20T10:23:15Z,29,2025-01-20T09:33:44Z
proj-010,agent-upsilon,plan-001,inline,7654,2025-01-20T11:10:20Z,123,2025-01-20T15:11:33Z
proj-010,agent-upsilon,schedule-001,inline,8901,2025-01-20T11:13:05Z,87,2025-01-20T12:55:22Z
proj-010,agent-phi,timeline-001,reference,123456,2025-01-20T11:15:50Z,41,2025-01-20T14:22:15Z
proj-010,agent-phi,milestones-001,reference,287654,2025-01-20T11:18:35Z,26,2025-01-20T10:44:33Z
proj-011,agent-chi,notes-001,inline,5432,2025-01-20T12:05:15Z,167,2025-01-20T16:33:08Z
proj-011,agent-chi,annotations-001,inline,9876,2025-01-20T12:08:00Z,134,2025-01-20T13:11:44Z
proj-011,agent-psi,comments-001,reference,76543,2025-01-20T12:10:45Z,52,2025-01-20T15:22:22Z
proj-011,agent-psi,reviews-001,reference,345678,2025-01-20T12:13:30Z,33,2025-01-20T11:44:55Z
proj-012,agent-omega,summary-001,inline,4567,2025-01-20T13:00:10Z,189,2025-01-20T16:55:11Z
proj-012,agent-omega,analysis-001,inline,8765,2025-01-20T13:02:55Z,145,2025-01-20T14:33:44Z
proj-012,agent-alpha-2,report-002,reference,198765,2025-01-20T13:05:40Z,67,2025-01-20T12:10:22Z
proj-012,agent-alpha-2,findings-001,reference,432100,2025-01-20T13:08:25Z,41,2025-01-20T10:22:33Z
